# Raw Optimization Data
# ,P15 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P17 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P1 - Moment Reaction Maximum X Axis (N m) ,P2 - Moment Reaction Maximum Total (N m) ,P3 - Total Deformation Maximum (m) ,P4 - Total Deformation Average (m) ,P16 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P18 - Y_directional_deformation_PUL Maximum (mm) ,P19 - Y_directional_deformation_Muscle Maximum (mm) ,P20 - Z_directional_deformation_Muscle Maximum (mm) ,P21 - Z_directional_deformation_PUL Maximum (mm) ,P22 - Y_directional_deformation_PUL Minimum (mm) ,P23 - Y_directional_deformation_Muscle Minimum (mm) ,P24 - Z_directional_deformation_Muscle Minimum (mm) ,P25 - Z_directional_deformation_PUL Minimum (mm) 
Name,P15,P17,P1,P2,P3,P4,P16,P18,P19,P20,P21,P22,P23,P24,P25
13,2,3,-0.00054945173554164024,0.0024776892151079869,0.0028896442404373105,0.00065902176750844328,2,1.5684183835983276,1.5684183835983276,2.2201516628265381,2.667851448059082,0.5070955753326416,0,-1.0323423147201538,1.2826716899871826
14,2,7,0.0040162786854588918,0.00403110862920849,0.002448679969101824,0.00068367076309235769,2,1.8292092084884644,1.8292092084884644,0,0.574791431427002,0.83971118927001953,0,-2.1432042121887207,-1.0716886520385742
15,2,5,0.000759832766123101,0.00082296774182587869,0.00203032201091316,0.00057570748860915006,2,1.7074871063232422,1.7074871063232422,0.99010640382766713,1.5959833860397339,0.68788838386535645,0,-1.5533220767974854,0.17101223766803741
16,2,10,0.0090984816580740435,0.009105968288640829,0.003747614631962081,0.0010406011466288971,2,2.0309879779815674,2.0309879779815674,0,-0.74153554439544678,1.0333945751190186,0,-3.2602982521057129,-2.7081756591796875
17,2,6,0.002377306917299286,0.0024002980637074524,0.0020416937293944695,0.000607658150976829,2,1.7674171924591064,1.7674171924591064,0.41488781571388245,1.0756067037582397,0.76683461666107178,0,-1.8330274820327759,-0.45880186557769775
18,2,4,-0.00018518031024361206,0.00089973723411681747,0.002438047206864549,0.0005939482263941909,2,1.6434580087661743,1.6434580087661743,1.5932677984237671,2.1303637027740479,0.60167700052261353,0,-1.2901865243911743,0.73102873563766479
19,2,8,0.0056804174607677426,0.0056915845479770209,0.0028770480134242818,0.00078976167041051534,2,1.8913239240646362,1.8913239240646362,0,0.10656978935003281,0.90780919790267944,0,-2.4948973655700684,-1.651498556137085
20,2,2,-0.00091547247977855485,0.0041046782541905363,0.0033615879718973283,0.00076283843762001721,2,1.4888331890106201,1.4888331890106201,2.8625755310058594,3.2010242938995361,0.40346729755401611,-0.080453641712665558,-0.78016805648803711,1.7450659275054932
21,2,7,0.0040162786854588918,0.00403110862920849,0.002448679969101824,0.00068367076309235769,2,1.8292092084884644,1.8292092084884644,0,0.574791431427002,0.83971118927001953,0,-2.1432042121887207,-1.0716886520385742
22,3,5,-0.00061887060259220009,0.0029294742064421911,0.0035600844311744788,0.00083807264123371189,3,2.1471905708312988,2.1471905708312988,2.5965845584869385,3.1877591609954834,0.80279260873794556,0,-1.5180455446243286,1.4208259582519531
23,3,9,0.00334252037675501,0.0033706988026232783,0.0027920334968654956,0.000828329017840364,3,2.35748553276062,2.35748553276062,0.51245200634002686,1.3224769830703735,1.0850646495819092,0,-2.4831771850585938,-0.65573614835739136
24,3,6,-0.0002626552754442626,0.0014130413522735435,0.0031770326850839394,0.00079461609375109873,3,2.2090592384338379,2.2090592384338379,2.0508987903594971,2.714282751083374,0.88237327337265015,0,-1.7571672201156616,0.94770044088363647
25,3,4,-0.00097673286993963716,0.0044770507876678014,0.0039576667484340893,0.00090531769940929024,3,2.07412052154541,2.07412052154541,3.1554050445556641,3.6582250595092773,0.715730607509613,0,-1.276701807975769,1.8158509731292725
26,3,9,0.00334252037675501,0.0033706988026232783,0.0027920334968654956,0.000828329017840364,3,2.35748553276062,2.35748553276062,0.51245200634002686,1.3224769830703735,1.0850646495819092,0,-2.4831771850585938,-0.65573614835739136
27,3,3,-0.0013365548236052025,0.006047360628784579,0.0043613141525625987,0.00099334399658869421,3,1.9903593063354492,1.9903593063354492,3.7192492485046387,4.1215095520019531,0.62076890468597412,-0.043131668120622635,-1.0282995700836182,2.2103724479675293
28,3,8,0.0017630025971911605,0.0018143043599215237,0.0024996356014339084,0.00078933142017289062,3,2.3113317489624023,2.3113317489624023,1.0058521032333374,1.7783576250076294,1.0224806070327759,0,-2.2345931529998779,-0.0966605618596077
29,3,5,-0.00061887060259220009,0.0029294742064421911,0.0035600844311744788,0.00083807264123371189,3,2.1471905708312988,2.1471905708312988,2.5965845584869385,3.1877591609954834,0.80279260873794556,0,-1.5180455446243286,1.4208259582519531
30,3,10,0.0049461735140017664,0.0049657687273725855,0.0031416287252230141,0.00089158329350963884,3,2.4035260677337646,2.4035260677337646,0.035491593182086945,0.8809017539024353,1.1441415548324585,0,-2.7467455863952637,-1.1921335458755493
31,3,6,-0.0002626552754442626,0.0014130413522735435,0.0031770326850839394,0.00079461609375109873,3,2.2090592384338379,2.2090592384338379,2.0508987903594971,2.714282751083374,0.88237327337265015,0,-1.7571672201156616,0.94770044088363647
32,3,3,-0.0013365548236052025,0.006047360628784579,0.0043613141525625987,0.00099334399658869421,3,1.9903593063354492,1.9903593063354492,3.7192492485046387,4.1215095520019531,0.62076890468597412,-0.043131668120622635,-1.0282995700836182,2.2103724479675293
33,3,8,0.0017630025971911605,0.0018143043599215237,0.0024996356014339084,0.00078933142017289062,3,2.3113317489624023,2.3113317489624023,1.0058521032333374,1.7783576250076294,1.0224806070327759,0,-2.2345931529998779,-0.0966605618596077
34,4,7,-0.00068755361212329588,0.0034536893824470096,0.0040797174960703,0.00098831913004657451,4,2.6087961196899414,2.6087961196899414,2.8636186122894287,3.563939094543457,1.0635808706283569,0,-1.9504177570343018,1.5184911489486694
