# Raw Optimization Data
# ,P26 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Load (N) ,P27 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Free Length (mm) ,P1 - Moment Reaction Maximum X Axis (N m) ,P2 - Moment Reaction Maximum Total (N m) ,P3 - Total Deformation Maximum (m) ,P4 - Total Deformation Average (m) ,P18 - Y_directional_deformation_PUL Maximum (mm) ,P19 - Y_directional_deformation_Muscle Maximum (mm) ,P20 - Z_directional_deformation_Muscle Maximum (mm) ,P21 - Z_directional_deformation_PUL Maximum (mm) ,P22 - P_point_Y Average (mm) ,P23 - P_point_Z Average (mm) ,P28 - Longitudinal - PUL_X=Y 1 body muscle along(Mechanical Model) To Solid(Mechanical Model) Free Length (mm) 
Name,P26,P27,P1,P2,P3,P4,P18,P19,P20,P21,P22,P23,P28
11,5.59375,14.46875,0.0040886532171829065,0.0040992646187263237,0.0021655813970173675,0.00059205047284958522,1.4339166879653931,1.4339166879653931,0,0.12523068487644196,1.3240164837768769,-0.87123153782917573,14.46875
12,6.03125,20.96875,0.0091985176246291971,0.009200659562724197,0.0035013260794635073,0.0010235865708129689,1.1839389801025391,1.3095394372940063,0,-1.9033539295196533,0.93983861276407554,-2.9194906818809669,20.96875
13,6.46875,12.84375,0.0045736232173836594,0.0045849958261518367,0.0024202628328730482,0.00066329422902762513,1.6227601766586304,1.6227601766586304,0,0.170509934425354,1.4984539136932211,-0.92628668598010777,12.84375
14,6.90625,19.34375,0.0096448681319064814,0.0096476795096630628,0.0036300498658531992,0.0010542121885044348,1.3619073629379272,1.4634996652603149,0,-1.8213064670562744,1.1389112281457086,-2.8973682827926708,19.34375
15,7.34375,16.09375,0.0081771987424348221,0.0081823431330840211,0.0032761490222199367,0.00092667583878014957,1.5044736862182617,1.5044736862182617,0,-1.1558626890182495,1.3850825460333569,-2.2505678925217616,16.09375
16,7.78125,22.59375,0.013702373493108176,0.013703348170360244,0.0047228799495031143,0.0013925800338732877,1.4136184453964233,1.6451959609985352,0,-2.8111007213592529,1.0032003362213024,-4.0690295217139845,22.59375
17,2.9734300789181765,12.03125,-0.00036855760107909507,0.0016646859480651214,0.0024906430683956284,0.00057356020202966543,1.4445616006851196,1.4445616006851196,1.8133289813995361,2.2725684642791748,1.1997945014939921,1.4457005958237725,12.03125
18,3.4015699210818235,18.53125,0.0028158353911241761,0.0028237567230443347,0.0014645320351069581,0.00039840658430892272,0.89042192697525024,0.89042192697525024,0,-0.026674332097172737,0.822632540926408,-0.71982306042356359,18.53125
19,2.5985356072164,15.28125,-0.00010913923614596717,0.000513875753735654,0.0017237436429603295,0.00041302891738159968,1.134982705116272,1.134982705116272,1.1084364652633667,1.5314500331878662,0.95424394944067814,0.8124846264220883,15.28125
20,3.7764643927836,20.15625,0.0045146474611619681,0.0045188265714770377,0.0019681766817500048,0.00056102872091196661,0.8134805560112,0.8134805560112,0,-0.77735680341720581,0.74675460979698949,-1.4638642437720417,20.15625
21,3.84375,14.424851789946405,0.0011288410178688561,0.0011593312688647618,0.0014333076834815903,0.00043726669657913672,1.3062528371810913,1.3062528371810913,0.55748951435089111,1.0803050994873047,1.1502601541400523,0.21871165530232539,14.424851789946405
22,5.59375,15.325148210053595,0.00461725289745241,0.0046260639109944957,0.0022592941044633904,0.00061858364383536287,1.3670823574066162,1.3670823574066162,0,-0.13604699075222015,1.271571123428892,-1.1104268080880195,15.325148210053595
23,2.9336845612389277,12.03125,-0.00038309890202269841,0.0017287128580450097,0.0025095195524505779,0.00057660469086697917,1.4416095018386841,1.4416095018386841,1.839221715927124,2.2946045398712158,1.1953086245573312,1.4722638980053266,12.03125
24,3.8788154387610723,15.28125,0.00168388415814172,0.0017033813395025295,0.0014283435383361932,0.00042070822457444481,1.2321634292602539,1.2321634292602539,0.27273714542388916,0.79091441631317139,1.0995161961140243,-0.049707390355452026,15.28125
25,2.53125,16.73227517009278,0.00024998020097346195,0.00032799132212508531,0.001298477629366961,0.00033923827843136272,0.99048334360122681,0.99048334360122681,0.69084620475769043,1.0990796089172363,0.84747025128186571,0.4284709717668414,16.73227517009278
26,1.65625,20.33022482990722,0.0008444089212908915,0.00085765261884986055,0.00069067744295619137,0.00019272386630582705,0.52997905015945435,0.52997905015945435,0.054556559771299362,0.34593015909194946,0.46547616725903368,-0.09631757733907427,20.33022482990722
